year,broadband_type,category,scope,label,value,unit
2023,FBB,Dissatisfaction_reason,Online voice calls,Choppy/Broken voice,59.6,%
2023,FBB,Dissatisfaction_reason,Online voice calls,Dropped calls,24.7,%
2023,FBB,Dissatisfaction_reason,Online voice calls,Could not hear,7.9,%
2023,FBB,Dissatisfaction_reason,Online voice calls,Others,7.8,%
2024,FBB,Dissatisfaction_reason,Online voice calls,Choppy/Broken voice,55.2,%
2024,FBB,Dissatisfaction_reason,Online voice calls,Dropped calls,24.1,%
2024,FBB,Dissatisfaction_reason,Online voice calls,Could not hear,17.2,%
2024,FBB,Dissatisfaction_reason,Online voice calls,Others,3.4,%
2023,MBB,Dissatisfaction_reason,Online voice calls,Choppy/Broken voice,50.5,%
2023,MBB,Dissatisfaction_reason,Online voice calls,Dropped calls,23.2,%
2023,MBB,Dissatisfaction_reason,Online voice calls,Could not hear,10.0,%
2023,MBB,Dissatisfaction_reason,Online voice calls,Others,16.3,%
2024,MBB,Dissatisfaction_reason,Online voice calls,Choppy/Broken voice,49.0,%
2024,MBB,Dissatisfaction_reason,Online voice calls,Dropped calls,24.0,%
2024,MBB,Dissatisfaction_reason,Online voice calls,Could not hear,16.0,%
2023,FBB,Dissatisfaction_reason,Online video calls,Video froze/disconnected,31.5,%
2023,FBB,Dissatisfaction_reason,Online video calls,Choppy/broken voice,30.6,%
2023,FBB,Dissatisfaction_reason,Online video calls,Low video quality,25.9,%
2023,FBB,Dissatisfaction_reason,Online video calls,Others,12.0,%
2024,FBB,Dissatisfaction_reason,Online video calls,Video froze/disconnected,28.1,%
2024,FBB,Dissatisfaction_reason,Online video calls,Choppy/broken voice,28.1,%
2024,FBB,Dissatisfaction_reason,Online video calls,Low video quality,28.1,%
2023,MBB,Dissatisfaction_reason,Online video calls,Video froze/disconnected,37.7,%
2023,MBB,Dissatisfaction_reason,Online video calls,Low video quality,22.0,%
2023,MBB,Dissatisfaction_reason,Online video calls,Choppy/broken voice,20.4,%
2023,MBB,Dissatisfaction_reason,Online video calls,Others,19.8,%
2024,MBB,Dissatisfaction_reason,Online video calls,Video froze/disconnected,38.9,%
2024,MBB,Dissatisfaction_reason,Online video calls,Choppy/broken voice,23.0,%
2024,MBB,Dissatisfaction_reason,Online video calls,Low picture quality,15.9,%
2024,MBB,Dissatisfaction_reason,Online video calls,Difficulties connecting,8.0,%
2023,FBB,Demo,Gender,Male,74.2,%
2023,FBB,Demo,Gender,Female,25.8,%
2023,FBB,Demo,Location,Urban,88.2,%
2023,FBB,Demo,Location,Rural,11.8,%
2023,FBB,Demo,Age group,Under 20,0.6,%
2023,FBB,Demo,Age group,20s,20.5,%
2023,FBB,Demo,Age group,30s,36.4,%
2023,FBB,Demo,Age group,40s,25.6,%
2023,FBB,Demo,Age group,50s,10.7,%
